year,spacex_launches,global_launches
2050,497,542
2051,516,562
2052,535,582
2053,555,603
2054,576,625
2055,598,647
2056,620,670
2057,643,694
2058,667,719
2059,692,745
2060,717,771
2061,744,798
2062,771,826
2063,799,855
2064,828,885
2065,858,916
2066,889,947
2067,921,980
2068,954,1013
2069,988,1048
2070,1023,1083
2071,1059,1120
2072,1096,1158
2073,1134,1196
2074,1173,1236
2075,1214,1277
2076,1255,1319
2077,1298,1362
2078,1342,1406
2079,1387,1451
2080,1434,1498
2081,1481,1545
2082,1530,1594
2083,1580,1644
2084,1632,1695
2085,1684,1747
2086,1738,1801
2087,1793,1855
2088,1850,1911
2089,1907,1968
2090,1966,2026
2091,2026,2086
2092,2088,2146
2093,2150,2208
2094,2214,2270
2095,2279,2334
2096,2345,2399
2097,2413,2465
2098,2481,2532
2099,2551,2600
2100,2621,2669
2101,2693,2739
2102,2766,2810
2103,2840,2882
2104,2915,2955
2105,2990,3028
2106,3067,3103
2107,3144,3178
2108,3222,3254
2109,3301,3330
2110,3380,3407
2111,3461,3485
2112,3541,3563
2113,3622,3641
2114,3704,3720
2115,3786,3800
2116,3868,3879
2117,3951,3959
2118,4034,4039
2119,4117,4119
2120,4199,4199
2121,4282,4280
2122,4365,4360
2123,4448,4440
2124,4531,4520
2125,4613,4599
2126,4695,4679
2127,4777,4758
2128,4858,4836
2129,4938,4914
2130,5019,4992
2131,5098,5069
2132,5177,5145
2133,5255,5221
2134,5332,5296
2135,5409,5371
2136,5484,5444
2137,5559,5517
2138,5633,5589
2139,5706,5660
2140,5778,5730
2141,5848,5799
2142,5918,5867
2143,5986,5934
2144,6054,6000
2145,6120,6065
2146,6185,6129
2147,6249,6191
2148,6311,6253
2149,6373,6313
2150,6433,6373
2151,6492,6431
2152,6549,6488
2153,6606,6544
2154,6661,6598
2155,6715,6652
2156,6767,6704
2157,6819,6755
2158,6869,6805
2159,6918,6854
2160,6965,6901
2161,7012,6948
2162,7057,6993
2163,7101,7037
2164,7144,7080
2165,7185,7122
2166,7226,7163
2167,7265,7203
2168,7303,7241
2169,7340,7279
2170,7376,7316
2171,7411,7351
2172,7445,7386
2173,7478,7419
2174,7510,7452
2175,7541,7483
2176,7571,7514
2177,7600,7544
2178,7628,7573
2179,7655,7601
2180,7682,7628
2181,7707,7654
2182,7732,7680
2183,7756,7705
2184,7779,7729
2185,7801,7752
2186,7823,7774
2187,7844,7796
2188,7864,7817
2189,7883,7837
2190,7902,7857
2191,7920,7876
2192,7938,7895
2193,7955,7912
2194,7971,7930
2195,7987,7946
2196,8002,7962
2197,8017,7978
2198,8031,7993
2199,8045,8007
2200,8058,8022
